"";"0"
"780";"Thanks Core"
"781";"‎sticker omitted"
"782";"‎Santiago Actuariales joined using this group's invite link"
"783";"Who was the one who had the book?"
"784";NA
"785";"Proba book.pdf • ‎281 pages ‎document omitted"
"786";"I think the teacher is sucking and has version 3"
"787";"Because the numbering does not fit this"
"788";"But if with the 3rd version"
"789";"I think that if it is that"
"790";"Because the teacher today looked for a problem"
"791";"And if it is in the same place that appears in version 2"
"792";"‎image omitted"
"793";"So?"
"794";"‎This message has been deleted."
"795";"‎This message has been deleted."
"796";"‎This message has been deleted."
"797";"Soft I am the one who is sucking"
"798";NA
"799";"Things about not knowing English"
"800";"From 31 to 33 are the problems"
"801";"According to me, they were the ones who said exercises"
"802";NA
"803";"Mae for mamapichas call him"
"804";"Better go and suck Sebas for a while"
"805";"Why don't you come and suck me off?"
"806";"‎~Alonso 💥 joined using this group's invite link"
"807";NA
"808";"https://t.me/+Mv9fNrG-bb84Zjkx"
"809";"‎image omitted"
"810";"Has the teacher arrived yet?"
"811";"‎image omitted"
"812";"Kembly will give Life Contingencies"
"813";"Maykol Solis Statistics"
"814";"I don't remember the name, but Stochastics will be given by the same teacher from last year"
"815";"and Tools ll, it is not yet known"
"816";"Javier is tentative"
"817";"I didn't say anything hahahaha, classified info"
"818";"‎sticker omitted"
"819";"@50663600334"
"820";"Maes, is Santiago in the group?"
"821";"The teacher said that number 9 could be done in words"
"822";NA
"823";"So, does it have to be formal or does it have to be explained?"
"824";"Hello"
"825";"Yes, explain why there is that formula, all the elements let's say"
"826";"And yes with words, according to me there is no other way to do it with chapter 1"
"827";"Thanks bro"
"828";"Oka oka, I'm going to put it in the telegram group"
"829";"because the bitch @50686093714"
"830";"He does not believe"
"831";"@50663600334"
"832";"Did the teacher say something about 9 to you?"
"833";"‎This message has been deleted."
"834";"Malparido @50685161588"
"835";"Do you need help with 9?"
"836";"That's how they help me with 14 hehe"
"837";"happy birthday @50684441770"
"838";"ky ky"
"839";"‎sticker omitted"
"840";"‎sticker omitted"
"841";"ha ha ha ha ha ha"
"842";"have a nice time"
"843";"If the cut of Actuarials went up a little bit hahaha"
"844";"Just a little bit more 😂 ‎<This message was edited.>"
"845";"How much was it?"
"846";"658"
"847";"oops"
"848";"But the PHC was very low"
"849";"‎sticker omitted"
"850";"Wasn't he in 60?"
"851";"‎image omitted"
"852";"You are beginning to see the fame they made him"
"853";"at what time"
"854";"70 I think"
"855";"I think it was 100% because of the change in plan and because last year it was the highest paying career."
"856";"Exactly, I think the same"
"857";"There is no longer that fear of wearing pure mates"
"858";"but they are still almost the same teachers in the end"
"859";"How lazy zzz. I liked that actuaries were low, it made it niche"
"860";"kqjajajs, the fact that it was low gave it the touch"
"861";"It was part of the race that the cutoff was always 500"
"862";"I agree"
"863";"Although sometimes it happens that of the 40 places only 10 people competed and then everyone gets in, so the cutoff is the score of the 10th person"
"864";"Right now a private u is coming out with a new actuarial career XD"
"865";"Yes indeed"
"866";"I shit on CRHOY"
"867";"I confirm, but they are going to screw most of them in 151"
"868";"‎sticker omitted"
"869";"Long live God"
"870";"Yes indeed"
"871";"In fact, that happens in Mate"
"872";NA
"873";"It does not cost much"
"874";"First they have to hire actuaries, and what actuary is going to want to be a teacher?"
"875";"At least for the next 10-15 years"
"876";"No private company will have actuarial"
"877";"It depends on which teachers want to prostitute themselves."
"878";"And most actuaries want money"
"879";"Do not teach"
"880";"That's if they stay in CR, because there will be many who leave the country"
"881";"I'm going there when I graduate, I'm going to found actuaries in La Latina. With college math and engineering program ‎<This message was edited.>"
"882";"‎image omitted"
"883";"hahaha"
"884";"Yeah"
"885";"You have the.doc"
"886";"They pass it to me"
"887";"Please"
"888";"Cortes-Primer-Ingreso-2024.pdf • 12 pages document omitted"
"889";"‎image omitted"
"890";"‎sticker omitted"
"891";"NOOOO HAHAHA"
"892";"‎sticker omitted"
"893";"XDDDD"
"894";"‎This message has been deleted."
"895";"Hahaha"
"896";"What was that Dixon photo 😳😳"
"897";NA
"898";"Be sapa hahaha"
"899";"If you liked it, order it privately sapa"
"900";"‎sticker omitted"
"901";"‎sticker omitted"
"902";"@50684743854"
"903";"XD"
"904";"‎image omitted"
"905";"Wow what a cool man"
"906";"Come on! come on! come on!!!"
"907";"When her little arms grow more, she will put them on me as a necklace"
"908";"‎sticker omitted"
"909";"sapa"
"910";"Wow soft 😍"
"911";"‎sticker omitted"
"912";"Soft what?"
"913";"Ha ha ha"
"914";"Tough ‎<This message has been edited.>"
"915";"@50687068012 but send the pack well"
"916";"One without a shirt please"
"917";"‎sticker omitted"
"918";"‎Change your security code with +506 8982 2719."
"919";"Maes, tomorrow's consultation started at 9 or 8?"
"920";"8"
"921";"But it is better to write to the teacher"
"922";"To confirm"
"923";"‎image omitted"
"924";"‎image omitted"
"925";"‎image omitted"
"926";"Adrián earned a kiss"
"927";"‎image omitted"
"928";"master"
"929";"It's true that Raúl is the one who takes the exam"
"930";"I think this one is made by Jennifer. What someone had told me is that maybe Raúl will review it"
"931";"If I talked shit on Telegram, *I'M CLEARLY SHIT*"
"932";"‎sticker omitted"
"933";"*IJOSUPUTOMOTHER CALL GOD*"
"934";"‎sticker omitted"
"935";"‎sticker omitted"
"936";"https://www.instagram.com/p/C2dSVEnRl40/?hl=en"
"937";"In that post is the link for the attendance contest"
"938";"Does Anthony know what HA and HE mean?"
"939";"Assistant hours and student hours"
"940";"Student hours and attendance hours"
"941";"‎sticker omitted"
"942";"Pure Life"
"943";"@50684958272 can you send your exam so that the teacher can solve it tomorrow?"
"944";"‎sticker omitted"
"945";"I think the exam I have is for the 2nd part, not the first 🥲"
"946";"‎sticker omitted"
"947";"I can't find the one from the first one"
"948";"‎image omitted"
"949";"‎sticker omitted"
"950";"Thank you"
"951";"‎sticker omitted"
"952";"‎sticker omitted"
"953";"Good morning people, a question. Was that thing about us being moved to 404 just for yesterday or is it also for the rest of the classes?"
"954";"Just yesterday"
"955";"‎sticker omitted"
"956";"Thank you!"
"957";"What a brave warning👌🏻💔"
"958";"‎sticker omitted"
"959";"People, TCU pre-registration is now open, from today until Wednesday"
"960";"https://tcu.ucr.ac.cr/https://tcu.ucr.ac.cr/"
"961";"That link doesn't work salu2"
"962";"https://accionsocial.ucr.ac.cr/modalidades/trabajo-comunidad/matricula-tcu"
"963";"‎Change your security code with Ashley Padilla."
"964";"Has anyone already asked the teacher about moving 5%?"
"965";"Go big and ask"
"966";"‎sticker omitted"
"967";"@50684743854 become big you are the voice of the group"
"968";"‎image omitted"
"969";"Thank you"
"970";"‎sticker omitted"
"971";"Maes asks what the name of what the hangman's hook looks like?"
"972";"Wtf"
"973";"Gamma function?"
"974";"Gamma"
"975";"Hahaha"
"976";"Gamma?"
"977";"Hahahaha"
"978";"Yeah"
"979";"That"
"980";"‎sticker omitted"
"981";"Hahaha"
"982";"It's just that I need to make a query and I didn't remember hahaha"
"983";"hahaha how strange"
"984";"For those interviewed in Repretel"
"985";"The report came out but we didn't go out 😞"
"986";"Did it come out today?"
"987";"Yeah"
"988";"My grandmother saw it in full yesterday and nothing haha"
"989";"Justly"
"990";"They didn't like our performance 🤣"
"991";"I'm sure he thought"
"992";"These people talking about working in banking and insurance and studying theater"
"993";"Noo"
"994";"I was watching it yesterday too haha"
"995";"Let's make a protest"
"996";"‎sticker omitted"
"997";"HA HA HA"
"998";"Raul:"
"999";"https://www.instagram.com/reel/C1-EqeaOKwu/?igsh=MWR4Y2pnbHg3ZW5hMg=="
"1000";"Raul: but with this trick it comes out in 3 lines"
"1001";"Proceed to change the integral completely and that's it, trivial 👍🏽"
"1002";"Hey, just in case, tuition is due tomorrow, so you don't forget and then get charged interest in vain 🫶🏽"
"1003";"‎sticker omitted"
"1004";"One question, they didn't hand in the exams at the end?"
"1005";"No :("
"1006";"Oh well thanks!"
"1007";"Hey!! Today the news came out 🥲"
"1008";"@50686093714 @50670768120 @50684441770 @50684091091"
"1009";"Didn't you record it?"
"1010";"You have to pay attention to the nightly news"
"1011";"Was it repretel news?"
"1012";"No 🥲"
"1013";"Is it telematics?"
"1014";"It was an aunt who wrote to me 🤣"
"1015";"who saw me on the news"
"1016";"Imagine"
"1017";"Repretel"
"1018";"In the 6"
"1019";"At night I'll let you know, and if I see it I'll record it."
"1020";"Now I'll pass them on then"
"1021";"On Facebook they always post the news"
"1022";"Complete"
"1023";"You have to look for it"
"1024";"https://www.facebook.com/share/v/AA5cKmcvsKhRSfDU/?mibextid=WC7FNe"
"1025";""
"1026";"When the live ends you can search"
"1027";"Good Sofia!!"
"1028";"Ha ha ha"
"1029";"https://www.repretel.com/noticia/cuales-son-los-5-puestos-de-trabajo-mas-dificiles-de-consegura-en-costa-rica/"
"1030";"https://youtu.be/hSr9seXYGxM?si=kqLa4ObOKjzFR_tZ"
"1031";"Wow, how cute"
"1032";"Yes haha, you can see that they cut them, but they did it well"
"1033";"‎sticker omitted"
"1034";"She wasn't wearing those clothes the day she interviewed us."
"1035";"They used us"
"1036";"That wasn't the end of the question."
"1037";"I feel cheated"
"1038";"Ha ha ha"
"1039";"What a shame"
"1040";"Ha ha ha"
"1041";"omitted audio"
"1042";"@50686093714"
"1043";"I love you baby"
"1044";"https://youtu.be/YRZkqyySKTs?si=jPoBjrXKoUlpdpQq"
"1045";""
"1046";"You have the same clothes here, right?"
"1047";"wow what a good Jaw line that eagle has😳👌🏻"
"1048";"Yeah"
"1049";"that was the one I saw the other day"
"1050";"and I assumed that they had not put us"
"1051";"My friend who does not forgive one:"
"1052";"He lost faith very quickly"
"1053";"‎image omitted"
"1054";"I thought it was the exams"
"1055";"Yes they are but you have to upload them later maybe"
"1056";"Lie they are already"
"1057";"The teacher getting up early"
"1058";"So what, he made the assignment to give each one the grade"
"1059";"‎image omitted"
"1060";"Sede_RodrigoFacio_1_2024.pdf • ‎313 pages ‎document omitted"
"1061";"‎sticker omitted"
"1062";"people!"
"1063";"Serious question, please try to answer."
"1064";"SURVEY:"
"1065";"If Actuarials had electives, would they take them? Optional Non-mandatory"
"1066";"‎OPTION: Yes (18 votes)"
"1067";"‎OPTION: No (1 vote)"
"1068";"It's for something serious"
"1069";"Tons I would like to know what you think"
"1070";"If it is about data, I will come by Sunday."
"1071";"HA HA HA"
"1072";"What?😂"
"1073";"Someone I see with a lot of energy"
"1074";"SURVEY:"
"1075";"Mark Electives that you would like (You can mark several)"
"1076";"‎OPTION: MA0150 (0 votes)"
"1077";"‎OPTION: MA0250 (0 votes)"
"1078";"‎OPTION: MA0350 (0 votes)"
"1079";"‎OPTION: MA450 (4 votes)"
"1080";"‎OPTION: MA0455 (Ordinary Differential Equations) (11 votes)"
"1081";"‎OPTION: MA505 (Analysis I) (8 votes)"
"1082";"OPTION: MA0840 (Pure Mate Probability - Measure Theory leads to Analysis I) (5 votes)"
"1083";"‎OPTION: Intermediate Accounting I (3 votes)"
"1084";"‎OPTION: Microeconomics II (5 votes)"
"1085";"‎OPTION: Macroeconomics II (2 votes)"
"1086";"‎OPTION: Programming II (17 votes)"
"1087";"‎OPTION: Introduction to Logic (Filo School) (2 votes)"
"1088";"SURVEY:"
"1089";"If Actuarial Sciences had electives, would you take them? Electives Not mandatory"
"1090";"‎OPTION: Basic Symbolic Logic (1 vote)"
"1091";"‎OPTION: Advanced Symbolic Logic (1 vote)"
"1092";"‎OPTION: Basic Sociology I (0 votes)"
"1093";"Macro II but with Sauma, otherwise no"
"1094";"Eh HAHAHA"
"1095";"*HA HA HA HA HA HA*"
"1096";"What the hell"
"1097";"I asked for"
"1098";"‎sticker omitted"
"1099";"Remember the pre-registration"
"1100";"‎sticker omitted"
"1101";"What do you mean pre-registration?"
"1102";"From the first semester. It's from 16 to 20 (I think)"
"1103";"First semester pre-enrollment"
"1104";"Ok thanks"
"1105";"Damn, you idiot, in less than a month we'll be entering the mongolian semester."
"1106";"Carepicha"
"1107";"People, does anyone get Intro to Actuarial Sciences in pre-enrollment?"
"1108";"Do I have to carry that?"
"1109";"There's no need. It's more if you want. That's what Juanga told me about 6 months ago."
"1110";"And yes, I think it works for all of us."
"1111";"In fact, if you look at your academic record you will see what has been validated."
"1112";"In fact, that course is now used for the theory of interest. That's why they validated it"
"1113";"Yeah"
"1114";"I confirm"
"1115";"Okok"
"1116";"‎image omitted"
"1117";"XD"
"1118";"You don't even go"
"1119";"frfr"
"1120";"Make the chatter cooler then"
"1121";"xd"
"1122";"4r"
"1123";"https://youtube.com/@LuisRinconUNAM?si=0gPRwHCsoHLV52v8"
"1124";"‎sticker omitted"
"1125";"‎image omitted"
"1126";"Plan-Updated.pdf • ‎4 pages ‎document omitted"
"1127";"‎sticker omitted"
"1128";"‎image omitted"
"1129";"There, excuse me for the ""Ibam"""
"1130";"hahaha"
"1131";"Friday, someone to put home"
"1132";"‎sticker omitted"
"1133";"HAHAHAHAHAHAHAHA"
"1134";"Nothing else"
"1135";"TWINKIE WINKY"
"1136";"TWINKIE WINKY BOYS"
"1137";"THE EARTH TELLS YOU"
"1138";"""WASH YOUR ASS THAT IS US TODAY"""
"1139";"‎sticker omitted"
"1140";"‎sticker omitted"
"1141";"Is anyone already in the U?"
"1142";NA
"1143";"Do you want me to calm your nerves with some kisses?"
"1144";"Shi"
"1145";"‎sticker omitted"
"1146";"oops"
"1147";"It's here ‎<This message has been edited.>"
"1148";"You know I had fallen asleep and this dick woke me up xd. I'm not late for you"
"1149";"ha ha ha"
"1150";"line up, the first one gets the tula too"
"1151";"Good luck to all the kids"
"1152";"‎sticker omitted"
"1153";"The TKMs"
"1154";"Wait, what time is the exam? 🫠"
"1155";"9 but Raul said he would arrive around 8"
"1156";"9 but the teacher planned to arrive at 8"
"1157";"Fac"
"1158";"I just woke up weh"
"1159";"Officially it is at nine, but supposedly if we arrive at eight and they open the class for us it could start at eight."
"1160";"same xd"
"1161";"Did the teacher arrive at 8? I'm on my way D:"
"1162";"x2"
"1163";"Introduction to Probability.pdf • 4 pages document omitted"
"1164";"‎~Jeremy joined using this group's invite link"
"1165";"‎image omitted"
"1166";"‎image omitted"
"1167";"All nervous. Little thing"
"1168";"Every now and then I look at the cell phone thinking ""Has he sent the notes already?"""
"1169";"I'm anxious gang, help"
"1170";"‎sticker omitted"
"1171";"‎sticker omitted"
"1172";"Mae I'm sick and I can't sleep"
"1173";"‎sticker omitted"
"1174";"‎sticker omitted"
"1175";"Honestly the exam was a bit violent"
"1176";"A bit? Ha ha"
"1177";"I was violent"
"1178";"I was going to do it in 3, but days"
"1179";"What if we all get down on our knees so that the tasks are worth 35?"
"1180";"‎sticker omitted"
"1181";"XDDDD"
"1182";"Mae what a dick"
"1183";"‎image omitted"
"1184";"The notes are already there"
"1185";"‎sticker omitted"
"1186";"chill"
"1187";"‎sticker omitted"
"1188";"‎image omitted"
"1189";"‎sticker omitted"
"1190";"Ha ha ha"
"1191";"‎sticker omitted"
"1192";"‎image omitted"
"1193";"‎image omitted"
"1194";"‎image omitted"
"1195";"Does anyone have drawing skills that can be sent with a good idea? 🥲"
"1196";"‎sticker omitted"
"1197";"Since 2020 I've been in control and I always lose"
"1198";"But this time he has support"
"1199";"Ha ha ha"
"1200";"Since 2020 I have it"
"1201";"‎sticker omitted"
"1202";"Here we support"
"1203";"‎sticker omitted"
"1204";"hahaha"
"1205";"‎Change your security code with Ashley Padilla."
"1206";"People, tomorrow is the TCU-725 briefings"
"1207";"‎image omitted"
"1208";"The chances of me getting TCU are the same as your chances of ceasing to be rich."
"1209";"Thank you"
"1210";"https://ci.ucr.ac.cr/cambio-en-el-acceso-redes-inalambricas-ucr"
"1211";"‎sticker omitted"
"1212";"‎Change your security code with Paula."
"1213";"Schedule-and-Fares-External-Buses-I-Cycle-2024.pdf • ‎4 pages ‎document omitted"
"1214";"https://maikolsolis.com"
"1215";"On that page is the Statistics"
"1216";"bitches, in case you want to see"
"1217";"I spent the most night with the book"
"1218";"I haven't looked for it"
"1219";"Chapter 4.pdf • 47 pages document omitted"
"1220";"Chapter 0.pdf • ‎16 pages ‎document omitted"
"1221";"Chapter 1.pdf • 42 pages document omitted"
"1222";"Chapter 2.pdf • 33 pages document omitted"
"1223";"Chapter 3.pdf • 45 pages document omitted"
"1224";"StochasticsActuariado notes.pdf • ‎132 pages ‎document omitted"
"1225";"I have that Stochastics thing, in case you want to see it"
"1226";"Probability and Statistics.pdf • ‎1,364 pages ‎document omitted"
"1227";"Meet my slut"
"1228";"thank you"
"1229";"what a saico I spent about 1 hour looking for it and gave up. Corella my goat"
"1230";"INTERNAL-BUS-SCHEDULE-I-2024.pdf • ‎1 page ‎document omitted"
"1231";"‎image omitted"
"1232";"I was also thinking the same thing 😅"
"1233";"they should"
"1234";"But there are 4"
"1235";"You already saw that you have to make logs"
"1236";"and forums"
"1237";"carta_estudiante_CA_303_I_ciclo_2024.pdf • ‎12 pages ‎document omitted"
"1238";"CA-0303"
"1239";"ca0303"
"1240";"I feel like the teacher is kind of nervous"
"1241";"I feel***"
"1242";"‎sticker omitted"
"1243";"-Exclaimed the doctor in Statistics** ‎<This message was edited.>"
"1244";"maikol.solis@ucr.com"
"1245";"David C. M. Dickson, Mary R. Hardy, Howard R. Waters - Actuarial Mathematics for Life Contingent Risks (International Series on Actuarial Science) (2020, Cambridge.pdf • 786 pages document omitted"
"1246";"‎image omitted"
"1247";"‎image omitted"
"1248";"Nope"
"1249";"‎image omitted"
"1250";"Thanks King!"
"1251";"https://t.me/+RMqn4EIvJ1w4ZDU5"
"1252";"This is the group's link with the teacher."
"1253";"https://youtu.be/VdGzPZ31ts8?si=1BS8ZT30zX3Shj46"
"1254";"Important for Friday"
"1255";"Hello, it occurred to me that those who have not brought tools could use the HTML of the course (from last semester), maybe if anyone wants to review for this semester, I hope it helps"
"1256";"Loops,-conditionals-and-functions.html ‎document omitted"
"1257";"Objects-in-R.html ‎document omitted"
"1258";"Paralelizacion.html ‎document omitted"
"1259";"Visualizations-in-R.html ‎document omitted"
"1260";"Rshiny-class[1].html ‎document omitted"
"1261";"Thank you"
"1262";"Thank you Santi"
"1263";"Thank you🫶🏽"
"1264";"‎image omitted"
"1265";"‎sticker omitted"
"1266";"Thank you"
"1267";"‎sticker omitted"
"1268";"‎sticker omitted"
"1269";"Careping that one"
"1270";"and I already woke up"
"1271";"I'm going to stick his dick in her, for being lazy, so she can take an Alkd and give classes."
"1272";"‎sticker omitted"
"1273";"No wonder I fell asleep reading maikolsolis.com xD"
"1274";"HAHAHAJjaka"
"1275";"Yes gui"
"1276";"I was***"
"1277";"TO"
"1278";"‎Change your security code with +506 8982 2719."
"1279";"‎Adrian added ~Roberto Peralta."
"1280";"‎image omitted"
"1281";"‎sticker omitted"
"1282";"I'm going to graduate without Viquez taking my virginity"
"1283";"HA HA HA"
"1284";"I hope it doesn't happen"
"1285";"Maes, starting next week on Tuesday and Friday I will be selling papa empanadas and possibly bean empanadas."
"1286";"Rich"
"1287";"Mae"
"1288";"I'll let you know"
"1289";"I*"
"1290";"I hope they buy me because that scholarship didn't help me."
"1291";NA
"1292";"HAHAHAHAHAHA"
"1293";"Mae go claim"
"1294";"Obas is sick and tired"
"1295";"Because supposedly it was very bad for everyone"
"1296";"When were they worth?"
"1297";"Wasn't it 800?"
"1298";"or a thousand?"
"1299";NA
"1300";"I remembered a thousand. But I do not remember"
"1301";NA
"1302";"With cool"
"1303";"It's to remember to bring the money on Tuesday because I keep it fair xD. Let Javi tell you, I ask him to borrow money all the time ‎<This message was edited.>"
"1304";"Okay bb. Save me one for Tuesday"
"1305";"‎sticker omitted"
"1306";NA
"1307";"‎image omitted"
"1308";"Remember to pay Dixon"
"1309";"‎Video omitted"
"1310";"Today I have cheese empanadas in case you like them"
"1311";"‎sticker omitted"
"1312";"Today is the last day to buy U week shirt..."
"1313";"Happy birthday Sofia"
"1314";"‎sticker omitted"
"1315";NA
"1316";"Thank you very much🥹"
"1317";"‎sticker omitted"
"1318";"‎image omitted"
"1319";"HAHAHA"
"1320";"‎Change your security code with Fabian."
"1321";"Teachers know if there are classes today"
"1322";"Because there is no water here"
"1323";"‎sticker omitted"
"1324";"The U does have water"
"1325";"Mate is the one who doesn't have"
"1326";"But since the morning they have been teaching classes like this"
"1327";"So definitely yes"
"1328";"x2"
"1329";"Go take a bath at Finca 3"
"1330";"Don't arrive smelling like Toropu, carepicha"
"1331";"‎Change your security code with +506 8982 2719."
"1332";"‎image omitted"
"1333";"HAHAHA"
"1334";"Hpta Maikol if you ask for it😂"
"1335";"It was time to settle accounts"
"1336";"‎sticker omitted"
"1337";"‎image omitted"
"1338";"6+6+6=18"
"1339";"But the 6 appears 3 times"
"1340";"18-3 = 15"
"1341";"And he's also 15? 👀"
"1342";"@50687122913, @50688203427"
"1343";"‎sticker omitted"
"1344";"Good people"
"1345";"‎SURVEY:"
"1346";"Mejenga against maikol"
"1347";"OPTION: I want (10 votes)"
"1348";"‎OPTION: Step (0 votes)"
"1349";"Hahaha, I knew that was it"
"1350";"‎sticker omitted"
"1351";"The teacher told me to make a list and send it to them, then vote there and I'll write them down."
"1352";"‎sticker omitted"
"1353";"anything, the teacher's date options are 1) Friday of week u in the afternoon or 2) Wednesday of week u at 6 pm"
"1354";"and the court is in we'll see haha"
"1355";"‎sticker omitted"
"1356";"‎sticker omitted"
"1357";"‎sticker omitted"
"1358";"‎sticker omitted"
"1359";"Any day is fine with me"
"1360";"They tell you how much to put in"
"1361";"‎sticker omitted"
"1362";"‎image omitted"
"1363";"‎Change your security code with Ashley Padilla."
"1364";"hello good"
"1365";"In the end the match will be played here https://www.google.com/maps/place/Futbol5+Cedros/@9.9410302,-84.0314747,18z/data=!4m6!3m5!1s0x8fa0e4087fe42617:0x4a8890ac7614bd3f!8m2!3d9. 9409064!4d-84.0272549!16s%2Fg%2F1vrqbpvs?entry=ttu"
"1366";"The teacher says there are 2 reds per jupa and it would be on Friday"
"1367";"What time?"
"1368";"Sign up here if you go:"
"1369";"excellent question"
"1370";"Hahaha"
"1371";"It's in the afternoon I guess type 2-3"
"1372";"OK, OK thank you!"
"1373";"‎sticker omitted"
"1374";"Okay"
"1375";"Who misses the two reds?"
"1376";"Sign up here if you go:"
"1377";"Javier"
"1378";"Sign up here if you go:"
"1379";"Javier"
"1380";"Venegas"
"1381";"*CLASSES ON CONTINGENCY THURSDAY ARE ASYNCHRONOUS*"
"1382";"!!!!!!!"
"1383";NA
"1384";"*REMEMBER THAT THERE ARE NO STOCHASTIC CLASSES ON FRIDAYS*"
"1385";NA
"1386";"*ONLY FOR THIS THURSDAY*"
"1387";"XDDD"
"1388";"‎sticker omitted"
"1389";"Bitches, on Friday the stochastics class is *ASYNCHRONOUS*"
"1390";"The teacher is going to leave some material"
"1391";"to read"
"1392";NA
"1393";"Sign up here if you go:"
"1394";"Javier"
"1395";"Venegas"
"1396";"Gustavo"
"1397";"Bastard"
"1398";"Tony"
"1399";"carepicha"
"1400";"felix malparidp"
"1401";"Marco Carepinga"
"1402";"fabian carepistola"
"1403";"santiago fellador"
"1404";"We are 8"
"1405";"Until now"
"1406";NA
"1407";"Sign up here if you go:"
"1408";"Javier"
"1409";"Venegas"
"1410";"Gustavo"
"1411";"Santiago"
"1412";"Thank you Santi"
"1413";"Just in case"
"1414";"By the way, there is a teacher who is giving away tickets at least until now."
"1415";"Of slushies and popcorn"
"1416";"Oh well, and corn"
"1417";"But I have no idea how many extra tickets there will be."
"1418";"Because right now a lot of people fell hahaha"
"1419";"They save me a slushie"
"1420";"Of course, I'll put it in @50687068012's ass so it stays until next Friday"
"1421";"Carepinga ‎<This message has been edited.>"
"1422";"‎sticker omitted"
"1423";"In the ass of his sister's big carepenis"
"1424";"‎Change your security code with +506 8708 0725."
"1425";"‎image omitted"
"1426";"IS TODAY!!"
"1427";"See you in Qmik!! 🤪"
"1428";"we lost them"
"1429";"HPS are even Chinese"
"1430";"6:00 pm where Sebas and Dixon 🥰"
"1431";"‎sticker omitted"
"1432";"‎sticker omitted"
"1433";"HA HA HA"
"1434";"@50686093714 you can't take king"
"1435";"‎sticker omitted"
"1436";"Who says no?"
"1437";"Today Tony and I are going to forget even the name"
"1438";"“and me” 😳"
"1439";"What did I miss?"
"1440";"Is anyone coming yet?"
"1441";"‎sticker omitted"
"1442";"Go on, stop messing around. <This message has been edited.>"
"1443";NA
"1444";"Maes, let us know when you get home."
"1445";NA
"1446";"@50689522806"
"1447";"Maikol said Figueres"
"1448";"‎sticker omitted"
"1449";"And what wins"
"1450";"‎sticker omitted"
"1451";"And he said ""Who do you ask?"""
"1452";"*YOU MISSED SOROMPA*"
"1453";"‎sticker omitted"
"1454";"Hahahaha I didn't understand. Why did you say Figueres? And who won what?"
"1455";"The teacher said"
"1456";"‎sticker omitted"
"1457";"Chat ptg is racist"
"1458";"‎sticker omitted"
"1459";"Basically"
"1460";"chat ptg is a text processing algorithm invented by Venegas just in case"
"1461";"And it's racist because a black man invented it (it's a shame ik xd)"
"1462";"HA HA HA"
"1463";"Come to class you bastard"
"1464";"‎sticker omitted"
"1465";"@50687068012 get the shit out of your bad ear"
"1466";"‎sticker omitted"
"1467";"Your sister is the one I'm going to beat the crap out of"
"1468";"*(Snif Snif) It smells like smoke"
"1469";"For the game"
"1470";"At what time is it?"
"1471";"3"
"1472";"Without tacos"
"1473";"Just tennis"
"1474";"for here"
"1475";"Ready"
"1476";"Are the courts that small?"
"1477";"I guess yes"
"1478";"‎image omitted"
"1479";"‎image omitted"
"1480";"‎image omitted"
"1481";"Hey, those of us who are going to the mejenga today... are we going to wear some color?"
"1482";"Pink whore is"
"1483";NA
"1484";"Do we have a goalkeeper?"
"1485";"serious question"
"1486";"Maikol said that they could be small teams, that they would be assembled there, so it would be necessary to bring several shirts"
"1487";"I can cut anyone off. But I should be able to play, my ankle is already at 90%"
"1488";"Today:"
"1489";"https://www.instagram.com/reel/C5YmCzsLp_C/?igsh=OGtxMXA4Nmx5a3Z3"
"1490";"‎Video omitted"
"1491";"Mae literally is me right now hahaha. I want to see him play like Cristiano in Euro 2016 btw <This message was edited.>"
"1492";"‎sticker omitted"
"1493";"Is anyone leaving from the U for the game?"
"1494";"I"
"1495";"I"
"1496";"I"
"1497";"‎Change your security code with Dixon Montero."
"1498";"Please write to me, I lost my contacts, give me your name and surname"
"1499";"Maes, just in case they wear a black and a white shirt"
"1500";"And if not haha"
"1501";"Are already?"
"1502";"‎image omitted"
"1503";"‎image omitted"
"1504";"‎Change your security code with Andrés Montero."
"1505";"‎Change your security code with Andrés Montero."
"1506";"‎Change your security code with Andrés Montero."
"1507";"You changed your security code with Gerard."
"1508";"‎Change your security code with Gerard."
"1509";"Of those who sat at the back, they left a mega bottle"
"1510";"Has anyone made a cover for tomorrow that they want to share? 🤔🫶🏻"
"1511";"Question for tomorrow, what does it include in addition to Cramer Rao's quota?"
"1512";"I don't know if they are going to ask more than one question."
"1513";"But I would say that it is almost certain that this is coming"
"1514";"But I do not know"
"1515";"Hey, I left my computer in statistics."
"1516";"did anyone see her?"
"1517";"a mac"
"1518";"I don't bro"
"1519";"Maikol fucked her"
"1520";"everything good xd"
"1521";"thank you"
"1522";"Hold on, Viquez is coming with you 2"
"1523";"That is a fact"
"1524";"Viquez is going to give Contingencies II"
"1525";"Shut up"
"1526";NA
"1527";"No no, it's serious"
"1528";"If the master does not pull France"
"1529";"The mae will give it"
"1530";NA
"1531";"Ready to schedule the zero coupon?"
"1532";"‎sticker omitted"
"1533";"SHUT UPEEEEEE"
"1534";"Deay no, it will be going out with the C3"
"1535";"‎sticker omitted"
"1536";"We have to wait for them, poor things"
"1537";"I still go out with the C3 for Tools"
"1538";"‎sticker omitted"
"1539";"‎image omitted"
"1540";NA
"1541";"Oh really"
"1542";"This kids!"
"1543";"Remember that there is time until 6 o'clock to send what is on the forum.-. ‎<This message has been edited.>"
"1544";"Mamapichas"
