[1/11/23, 3:41:35 PM] Gen: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[1/11/23, 3:41:35 PM] Venegas: ‎Venegas creó este grupo.PM]
[8/12/23, 8:14:34 PM] Andrés Montero: El profe esta borracho
[8/12/23, 8:14:36 PM] Andrés Montero: JAJAJA
[8/12/23, 8:14:37 PM] Anthony: El mae dijo que era algo fácil
[8/12/23, 8:14:41 PM] Andrés Montero: Dice que es más corto que el primero
[8/12/23, 8:14:47 PM] Anthony: Tramadisimos
[8/12/23, 8:14:57 PM] Corella: yo tenía fe de que estuviera cortito
[8/12/23, 8:15:00 PM] Corella: pero ni picha jajaja
‎[8/12/23, 8:16:00 PM] Felix: ‎sticker omitido
‎[8/12/23, 8:16:20 PM] Andrés Montero: ‎sticker omitido
[8/12/23, 8:16:48 PM] ~ Juan Pablo M.: él juraba que el examen era más corto que el pasado
‎[8/12/23, 8:16:52 PM] ~ Juan Pablo M.: ‎sticker omitido
‎[8/12/23, 8:18:21 PM] Sofía Bocker: ‎sticker omitido
[8/12/23, 8:26:31 PM] ~ Alejandro Brenes: El profe después de ponernos a hacer un algoritmo de progra 3:
‎[8/12/23, 8:26:32 PM] ~ Alejandro Brenes: ‎sticker omitido
[8/12/23, 8:36:31 PM] Javier Hernández: Yo digo que le mandemos un troyano
[8/12/23, 8:48:01 PM] Luis Fer Amey: va espere ya me bajo uno jajaj
[8/12/23, 8:48:23 PM] Luis Fer Amey: nombres no sé que vamos a hacer con este profe
[8/12/23, 8:48:49 PM] Adrian: Lo metía en una netbot
[8/12/23, 8:54:47 PM] Andrés Montero: El mae dijo que si era muy duro que consideraba un cambio
[8/12/23, 8:54:52 PM] Andrés Montero: Yo digo que le digamos eso Jajaj
[8/12/23, 8:57:22 PM] Felix: A cómo es no hace nada
[8/12/23, 8:58:46 PM] Luis Fer Amey: si no
[8/12/23, 8:58:54 PM] Marco Guardia: agréguele que hay que terminar el proyecto para el cual no hay instrucciones ni rubrica aún xd
[8/12/23, 8:59:04 PM] Luis Fer Amey: JAJAJJAJ
[8/12/23, 8:59:53 PM] Luis Fer Amey: mae y las instrucciones del examen vienen escritas como ?????
[8/12/23, 9:02:00 PM] Andrés Montero: Mae yo estoy aun entendiendo como son
[8/12/23, 9:02:06 PM] Felix: Siempre y según él se entiende porque le pregunta a dos personas que se dedican a lo mismo que el
[8/12/23, 9:02:11 PM] Andrés Montero: Literal tengo el punto 1 y punto 2 Jajaja
[8/12/23, 9:02:51 PM] Adrian: Cómo que el estadista y el actuario con experiencia si entendieron? Que raro no? xD
[8/12/23, 9:03:54 PM] Luis Fer Amey: Mae este examen va a durar un raspichazo en knitear 😞
[8/12/23, 9:04:01 PM] Luis Fer Amey: Que raro
[8/12/23, 9:04:16 PM] Luis Fer Amey: Y el profe dice que está fácil jajajaj claro profe para ud
[8/12/23, 9:04:39 PM] Luis Fer Amey: Nosotros acá muriendo tratando de entenderle y sacar funciones que sirvan
[8/12/23, 9:05:03 PM] Javier Hernández: De hecho ahora se le salió que el programó esto en la maestría
[8/12/23, 9:05:26 PM] ~ Juan Pablo M.: nos ponía a hacer el trabajo de graduación el mae
‎[9/12/23, 9:25:19 PM] Adrian: ‎imagen omitida
[9/12/23, 9:39:17 PM] Luis Fer Amey: JAJAJAJ ni me había dado cuenta no puede ser
[9/12/23, 9:39:28 PM] Luis Fer Amey: Bueno en eso hemos estado sufriendo todos
[9/12/23, 9:39:58 PM] Andrés Montero: Cuanto % se pierde por compartir codigo con compañeros y darles el mérito?
[9/12/23, 9:40:45 PM] Luis Fer Amey: según lo que veo, si es más de 60% entonces un 80% porque no puede ser 100
[9/12/23, 9:41:04 PM] Luis Fer Amey: no tiene sentido
[9/12/23, 9:41:19 PM] Luis Fer Amey: o sea eso incita a que usemos chatgpt wtf
[9/12/23, 9:45:00 PM] Javier Hernández: A lo que entendí yo es que entre compañeros va reportado y chatgpt es 60%
[9/12/23, 9:45:16 PM] Javier Hernández: Y anulada la pregunta
[9/12/23, 9:45:51 PM] Andrés Montero: A
[9/12/23, 9:45:58 PM] Andrés Montero: Yo había entendido que si daba el mérito es mejor que ia
[9/12/23, 9:46:03 PM] Andrés Montero: Pero ya leí bien las instrucciones
‎[9/12/23, 9:46:10 PM] Andrés Montero: ‎sticker omitido
[10/12/23, 11:45:31 AM] Adrian: ‎Se eliminó este mensaje.
[10/12/23, 11:45:54 AM] Corella: Ishhh
‎[10/12/23, 11:45:58 AM] Corella: ‎sticker omitido
[10/12/23, 12:22:52 PM] Adrian: no me hagan caso, este tiempo es del proyecto. Ya no se ni que digo xd
[11/12/23, 4:27:30 PM] Anthony: Gente recuerden que desde hoy hasta el 12+1 es matricula
[11/12/23, 4:27:47 PM] Corella: Jajajaja
[11/12/23, 4:28:13 PM] Marco Guardia: hombre de cultura
[11/12/23, 5:18:48 PM] Venegas: Hpta
‎[11/12/23, 5:20:15 PM] Felix: ‎sticker omitido
[11/12/23, 10:15:13 PM] Javier Hernández: Mi compa el menos traumado:
[12/12/23, 7:28:45 AM] Dixon Montero: ‎Se eliminó este mensaje.
‎[12/12/23, 11:03:08 AM] Javier Hernández: ‎sticker omitido
‎[12/12/23, 10:52:15 PM] Sebas: ‎imagen omitida
‎[12/12/23, 10:52:25 PM] Sebas: ‎imagen omitida
[12/12/23, 10:54:44 PM] Luis Fer Amey: Los bajos de los bajos
‎[12/12/23, 10:58:41 PM] Felix: ‎sticker omitido
‎[12/12/23, 11:09:22 PM] Sebas: ‎imagen omitida
‎[12/12/23, 11:09:30 PM] Sebas: ‎imagen omitida
‎[12/12/23, 11:10:06 PM] Sebas: ‎imagen omitida
[12/12/23, 11:10:26 PM] Javier Hernández: Muy sano @50686093714 tomando limonadas
[12/12/23, 11:10:59 PM] Gustavo Amador: Agua si, coca cola no.
‎[12/12/23, 11:41:31 PM] Sebas: ‎Video omitido
[13/12/23, 12:53:40 AM] Corella: JAJAJAJA
[13/12/23, 12:53:45 AM] Corella: Qué grande tony
‎[13/12/23, 5:03:27 PM] Venegas: Probabilidad - Cambronero.pdf • ‎152 páginas ‎documento omitido
‎[13/12/23, 5:03:28 PM] Venegas: Apuntes Probabilidad Teórico - Cambronero.pdf • ‎122 páginas ‎documento omitido
[13/12/23, 5:03:51 PM] Venegas: Ahí les roto esas joyas del Doctor en Proba, Cambro God
[15/12/23, 12:11:12 PM] Javier Hernández: El profe mandado las notas con VBA
[15/12/23, 12:11:13 PM] Javier Hernández: JAJAJAJA
[15/12/23, 12:12:10 PM] Adrian: El Mae todo fino
[15/12/23, 12:12:19 PM] Javier Hernández: Rajado si
[15/12/23, 12:12:19 PM] Adrian: Yo me quedé perdido como los primero 5 segundos jajaja
[15/12/23, 12:17:43 PM] Luis Fer Amey: Fino
[15/12/23, 12:18:46 PM] Andrés Montero: Solo a mi me subió la nota de los exámenes? :0
[15/12/23, 12:19:00 PM] Javier Hernández: Creo creo, que puso mal esa columna
[15/12/23, 12:19:02 PM] ~ Juan Pablo M.: a mí me la bajaron
‎[15/12/23, 12:19:04 PM] ~ Juan Pablo M.: ‎sticker omitido
[15/12/23, 12:19:05 PM] Javier Hernández: Porque a mí me la puso más baja
[15/12/23, 12:19:10 PM] Javier Hernández: Hay un desfase ahí jajaja
[15/12/23, 12:19:17 PM] Javier Hernández: Falló el XLOOKUP
[15/12/23, 12:19:18 PM] Andrés Montero: Mae yo no se, me cambio mis notas JAJAJA
[15/12/23, 12:19:17 PM] Luis Fer Amey: Puso mal la columna del primer  examen
[15/12/23, 12:19:33 PM] Javier Hernández: O sea, es general
[15/12/23, 12:19:34 PM] Javier Hernández: Que susto
[15/12/23, 12:19:35 PM] Javier Hernández: Jajaja
[15/12/23, 12:19:35 PM] Gustavo Amador: Hay que bajarle puntos por la progra
[15/12/23, 12:19:44 PM] ~ Juan Pablo M.: JAJJAJAJA
[15/12/23, 12:19:45 PM] Javier Hernández: Y no está comentando
[15/12/23, 12:19:47 PM] Javier Hernández: -10
‎[15/12/23, 12:19:50 PM] ~ Juan Pablo M.: ‎sticker omitido
[15/12/23, 12:19:53 PM] ~ Juan Pablo M.: básicamente
[15/12/23, 12:19:57 PM] Javier Hernández: JAJAJAJAJAJA
[15/12/23, 12:26:46 PM] Adrian: Mae soy el único que le dió la nota bien? Al menos me hubiera subido la nota un toque manda huevo :(
[15/12/23, 12:27:11 PM] Andrés Montero: A mi me subió los exámenes bastante
[15/12/23, 12:27:30 PM] Luis Fer Amey: Di si webon de seguro le pego el 100
[15/12/23, 12:28:36 PM] Javier Hernández: Tal vez está desfasada pero te coincidió
[15/12/23, 12:28:46 PM] Javier Hernández: Creo que solo es el primero no sé
[15/12/23, 12:29:05 PM] Adrian: Mae al rato porque hice repo del primero? No sé, ese señor es medio boomer xD
[15/12/23, 12:29:12 PM] Adrian: Se nota que es actuario de vieja escuela
[15/12/23, 12:38:06 PM] Gustavo Amador: A mi me subió la nota del primero... de segundo no se
[15/12/23, 1:05:26 PM] Corella: A mí que quedó igual xd
Y del segundo examen ni idea
[15/12/23, 1:05:43 PM] Javier Hernández: Bueno es que si, del segundo examen no podemos saber JAJAJA
[15/12/23, 1:05:53 PM] Corella: Si si jajaja
Por eso
[15/12/23, 1:06:02 PM] ~ Juan Pablo M.: me da miedo preguntar y que me baje la nota
‎[15/12/23, 1:06:10 PM] ~ Juan Pablo M.: ‎sticker omitido
[16/12/23, 9:45:51 PM] Sebas: Alguien ya pudo ver la nota del examen de herramientas?
[16/12/23, 9:46:28 PM] Adrian: no me salen cursos matriculados xD
[16/12/23, 9:46:33 PM] Sebas: Ok ok si
[16/12/23, 9:46:35 PM] Sebas: JAJAJAJA
[16/12/23, 9:46:41 PM] Sebas: Todo bien entonces
[16/12/23, 9:46:46 PM] Sebas: Gracias
[16/12/23, 9:54:18 PM] Luis Fer Amey: Mediación nos sacó a todos
[16/12/23, 9:54:28 PM] Luis Fer Amey: Si quieren la nota pregúntenles al profe
[16/12/23, 9:54:38 PM] Sebas: Ok ok
[16/12/23, 9:54:43 PM] Sebas: Gracias
[17/12/23, 7:32:32 PM] Adrian: ‎Adrian fijó un mensaje.
[18/12/23, 2:39:46 PM] Javier Hernández: Hey, cómo es eso de que los de estadística van a llevar nuestras mates?
‎[18/12/23, 2:39:51 PM] Javier Hernández: ‎sticker omitido
[18/12/23, 2:40:00 PM] Javier Hernández: Alguien ha escuchado algo?
[18/12/23, 2:43:37 PM] Ashley Padilla: No 😳
[18/12/23, 2:43:47 PM] Ashley Padilla: Y en Asamblea de Mate aún no se ha hablado nada de eso ‎<Se editó este mensaje.>
‎[18/12/23, 2:45:52 PM] Javier Hernández: ‎sticker omitido
[18/12/23, 2:46:09 PM] Javier Hernández: Hay que esperar al otro año a ver que pasa con eso
[18/12/23, 3:02:57 PM] Gustavo Amador: Algo así me había dicho un mae de estadística... pero en ningún lado se ha dicho algo
[18/12/23, 3:05:13 PM] Javier Hernández: Exacto, por eso preguntaba
[18/12/23, 3:05:52 PM] Javier Hernández: Los de estadística están hablando de eso pero en mate creo que no se ha dicho nada
[18/12/23, 3:06:01 PM] Javier Hernández: Seguro el otro año nos daremos cuenta
[18/12/23, 3:11:03 PM] Venegas: JAJAJAJAJAJAJAJAJA
[18/12/23, 3:11:17 PM] Venegas: Los de ing eléctrica son los que quieren
[18/12/23, 3:11:33 PM] Venegas: Estadística con lo mierda que es 😂😂😂
[18/12/23, 3:11:57 PM] Javier Hernández: Yo no me reiría tanto, más bien los de estadística no quieren y por eso están asustados jajaja
[18/12/23, 3:11:59 PM] Venegas: Pero objetivamente, estadística pertenece a la escuela de mate
[18/12/23, 3:12:05 PM] Venegas: Xdddd
[18/12/23, 3:12:14 PM] Venegas: Nosotros tampoco queremos
[18/12/23, 3:12:24 PM] Venegas: No quiero sangre sucias con nosotros
[18/12/23, 3:12:30 PM] Javier Hernández: Jajaja
[18/12/23, 3:12:33 PM] Javier Hernández: Ojalá que no
‎[18/12/23, 3:12:38 PM] Javier Hernández: ‎sticker omitido
[18/12/23, 3:12:53 PM] Venegas: Tras de eso, llevan mate de economicas
[18/12/23, 3:13:04 PM] Venegas: Y quieren pegar un brinco a demostrar según ellos
[18/12/23, 3:13:14 PM] Venegas: Quien habrá sido la bestia
[18/12/23, 3:16:37 PM] Venegas: Jujuy suave
[18/12/23, 3:16:40 PM] Venegas: Paren todo
[18/12/23, 3:16:43 PM] Venegas: Toroou
[18/12/23, 3:16:49 PM] Venegas: Toropu va a opinar
[18/12/23, 3:16:57 PM] Venegas: 😳😳😳
[18/12/23, 3:17:40 PM] Anthony: La asamblea de mate ya había tomado una decisión con respecto a eso, fue a inicio de este año o finales del año pasado
[18/12/23, 3:17:50 PM] Venegas: Y?
[18/12/23, 3:17:54 PM] Anthony: Yo vote por la vara, solo que no me acuerdo que paso
[18/12/23, 3:17:59 PM] Anthony: No me acuerdo ni que vote
[18/12/23, 3:18:02 PM] Venegas: Di si
[18/12/23, 3:18:11 PM] Venegas: Me cago en Sauma
[18/12/23, 3:18:32 PM] Anthony: Al chile que si
[18/12/23, 3:21:36 PM] Javier Hernández: X3
[18/12/23, 3:44:45 PM] Luis Fer Amey: HAJAJAJAJ
[18/12/23, 3:44:55 PM] Luis Fer Amey: Siempre termina la culpa en Sauma
[18/12/23, 3:56:00 PM] Javier Hernández: Deberíamos hacer un sticker
[18/12/23, 4:34:45 PM] Luis Fer Amey: Apoyo la idea
[18/12/23, 4:34:52 PM] Luis Fer Amey: Solo que yo no lo hago jajaj
[18/12/23, 5:04:33 PM] Adrian: Maes yo había escuchado que lo de estadística era bastante fijo. Igual son las nuevas mates que no es lo mismo que las mates puras. Pero brincar de calculo de economicas a los de actuariales si suena como suicidio xDD
[18/12/23, 5:05:38 PM] Adrian: Pero les soy honesto. Si a alguien le creo que las pueda pasar son los de estadística. Aunque lleven mate patito al principio, si he visto que los cursos de carrera de ellos son bastante completos
[18/12/23, 5:12:57 PM] Venegas: No sé honestamente, no he ido a un solo curso de estadística, hasta este verano que iré auno de oyente, pero conozco genet que lleva ambas carreras y dicen que es muy fácil
[18/12/23, 5:13:03 PM] Venegas: Gente***
[18/12/23, 5:14:05 PM] Adrian: A ver playo siendo honesto a la par de actuariales casi que cualquier carrera es muy fácil. Por ejemplo economía es un chiste a la par de actuariales, solo que para nosotros es un bostezo llevar los cursos de economia
[18/12/23, 5:14:30 PM] Venegas: Cof cof: Macro
[18/12/23, 5:29:49 PM] Luis Fer Amey: Xddd
[18/12/23, 5:30:40 PM] Luis Fer Amey: Lo quiero ver en macro jajaja
‎[18/12/23, 5:32:13 PM] Andrés Montero: ‎sticker omitido
[18/12/23, 5:41:54 PM] Venegas: Tranqui mi rey, yo le voy a rotar packs de macro, incluso me puede preguntar si quiere, no me eximí, pero me acuerdo muy bien de la vara
[18/12/23, 5:42:11 PM] Andrés Montero: Comparta comparta
[18/12/23, 5:42:16 PM] Luis Fer Amey: Podemos rotar exámenes solucionados tmb
[18/12/23, 5:42:23 PM] Venegas: No le he tomado foto xddd
[18/12/23, 5:42:24 PM] Luis Fer Amey: Son muy útiles
‎[18/12/23, 5:42:35 PM] Andrés Montero: ‎sticker omitido
[18/12/23, 5:42:51 PM] Ashley Padilla: Ni a mi me lo ha pasado 😒
[18/12/23, 5:42:53 PM] Venegas: Confirmo, por aquello las tejas las tienen Laura, Fabián y marco, por si quieren ver el examen ak7
[18/12/23, 5:43:12 PM] Venegas: Pero es que macro hay que usar las palabras claves nada más
[18/12/23, 5:43:32 PM] Venegas: Y usted va bien, lo que pasa es que uno en la carrera, se le van las fuckings varas esas
[18/12/23, 5:43:37 PM] Venegas: Pero si se pasa chill
[18/12/23, 5:43:46 PM] Venegas: Con un esfuerzo normal
[18/12/23, 7:36:59 PM] Adrian: si hubiera pasado micro JAJAJAJA. Esa picha la deje morir de una manera xD
[18/12/23, 7:37:10 PM] Venegas: Noooo
[18/12/23, 7:37:14 PM] Venegas: Mamapichas
[18/12/23, 7:37:19 PM] Venegas: Pero ibas súper bien
[18/12/23, 7:37:22 PM] Venegas: Que te pasa
[18/12/23, 7:37:29 PM] Venegas: 😞😞🖕🏻
[18/12/23, 7:38:17 PM] Adrian: se paran esos cursos, pase los 4 que importaban. Micro y macro con que los pase de aqui a dos años me da igual jajaja. Ya juanga me dijo que puedo levantar requisitos.
[18/12/23, 7:38:52 PM] Adrian: mae pero siendo honesto, fue culpa mia y de Javier. Porque si bien es cierto que el ultimo mes y resto de clases no fui ni una sola vez xD, pero no pude estudiar bien para ampli asi que ni la fui a hacer
[18/12/23, 7:39:18 PM] Adrian: por herramientas 🫠
[18/12/23, 7:40:35 PM] Javier Hernández: A mí no me eche la culpa 😡
[18/12/23, 7:40:53 PM] Venegas: Xdddd
[19/12/23, 10:15:27 PM] Andrés Montero: A alguno si le cambio la nota en el nuevo archivo del profe?
‎[19/12/23, 10:15:29 PM] Andrés Montero: ‎sticker omitido
[19/12/23, 11:30:10 PM] Javier Hernández: Solo cambió las de las personas que le hicieron reclamos
[21/12/23, 8:27:43 AM] Venegas: Los de estadística están pidiendo esa bomba para 2025
[21/12/23, 8:27:52 AM] Venegas: No para 2024
[21/12/23, 8:27:59 AM] Venegas: Pero ni idea si se va aceptar
‎[21/12/23, 9:40:41 AM] Javier Hernández: ‎sticker omitido
[21/12/23, 9:40:52 AM] Javier Hernández: Me suena que si se los aceptan :/
[21/12/23, 9:42:23 AM] Venegas: X2
[21/12/23, 9:42:33 AM] Venegas: Ojalá los revienten xd por sapos
[21/12/23, 9:42:47 AM] Venegas: Ya van a comenzar a prostituir actuariales
[21/12/23, 9:42:51 AM] Venegas: Por pura plata
[21/12/23, 9:42:57 AM] Venegas: Cómo se hizo con la maestría
[21/12/23, 9:43:07 AM] Sebas: Huelga huelga
[21/12/23, 9:43:26 AM] Sebas: Nuestro derecho por ser UCR
[21/12/23, 9:43:28 AM] Sebas: JAJAJAJA
[21/12/23, 9:44:54 AM] Venegas: Malparida escuela podrida
[21/12/23, 9:45:18 AM] Venegas: Por lo menos derecho y medicina si tienen dignidad
[21/12/23, 9:46:21 AM] Javier Hernández: Era de esperarse porque eso de separar las mates hizo que los grupos fueran muy pequeños
[21/12/23, 9:46:38 AM] Venegas: Di mae, se ponen de cursito en cursito
[21/12/23, 9:46:44 AM] Javier Hernández: 2026: estadística pasa a ser parte de la escuela de matemáticas
[21/12/23, 9:46:52 AM] Venegas: Cómo dijo sebas, si tanto es la picha que se pasen
[21/12/23, 9:47:01 AM] Venegas: Y vayan a parir como nosotros
[21/12/23, 9:47:03 AM] Javier Hernández: Jamás va a ser todo
[21/12/23, 9:47:07 AM] Venegas: No que comienzan a llevar cursitos
[21/12/23, 9:47:15 AM] Venegas: Y luego los aceptan en la maestría
[21/12/23, 9:47:21 AM] Javier Hernández: Es como que los de programación se quejen que de llevamos la programación de ellos
[21/12/23, 9:47:21 AM] Venegas: Por llevar la misma mate que nosotros
[21/12/23, 9:47:25 AM] Javier Hernández: O los de economía
[21/12/23, 9:47:25 AM] Venegas: Y cursitos así
[21/12/23, 9:47:29 AM] Venegas: Carepichas
[21/12/23, 9:47:53 AM] Venegas: Usted sabe que en el mercado, es mejor un economista con la maestría en actuariales o métodos matemáticos
[21/12/23, 9:48:02 AM] Venegas: Que los bachi en actuariales?
[21/12/23, 9:48:09 AM] Venegas: Pues si no sabían ahí tienen
[21/12/23, 9:48:34 AM] Venegas: 1
[21/12/23, 9:48:50 AM] Venegas: Si, pero nos ponen mil trabas
[21/12/23, 9:48:52 AM] Javier Hernández: Obvio vale la pena contratar a alguien que es bachiller y máster
[21/12/23, 9:48:55 AM] Venegas: Para llevar sus maestrías
[21/12/23, 9:49:08 AM] Venegas: No está entiendo usted
[21/12/23, 9:49:11 AM] Javier Hernández: Por eso uno siempre debe buscar también un máster
[21/12/23, 9:49:26 AM] Javier Hernández: O un posgrado
[21/12/23, 9:49:27 AM] Venegas: Dicho por 3 profesores, no voy a decir nombre de dos, usted ya debe saber quién es uno
[21/12/23, 9:49:38 AM] Venegas: Dicen que esa maestría de métodos
[21/12/23, 9:49:41 AM] Venegas: Es puro negocio
[21/12/23, 9:49:49 AM] Venegas: Los cursos son de actuariales
[21/12/23, 9:50:20 AM] Javier Hernández: Es de darle unos 10 años donde hayan más actuarios en el mercado y los puestos de actuarios van a ser ocupados por actuarios
[21/12/23, 10:04:35 AM] Venegas: Estadístico que veo, estadístico que bullyneo (xd)
[23/12/23, 8:40:59 AM] Venegas: ‎Cambió tu código de seguridad con Venegas.
[23/12/23, 11:10:26 AM] Adrian: Maes el carepicha de Javier que?
[23/12/23, 11:14:02 AM] Andrés Montero: Jakaja cierto a mi se me había olvidado
[23/12/23, 11:15:06 AM] Adrian: dios guarde ese mae tenga que mandar a alguien a ampli. Literal el 20 de enero ampli 💀
‎[23/12/23, 11:23:46 AM] Javier Hernández: ‎sticker omitido
[23/12/23, 11:40:10 AM] Venegas: xdddddd
[23/12/23, 11:40:22 AM] Venegas: no creo, fijo pasan todos bro🙌🏻
[23/12/23, 11:40:33 AM] Venegas: sisisisisi, me cago en javier
‎[23/12/23, 11:40:36 AM] Venegas: ‎sticker omitido
[23/12/23, 11:21:24 PM] Corella: Hey gente
Espero que tengan unas felices fiestas y lo pasen ak7!
[24/12/23, 12:23:59 AM] Venegas: yo ys edtoy borrochao
[24/12/23, 12:24:11 AM] Venegas: peto felix fuesta a todoa
[24/12/23, 12:24:17 AM] Venegas: lis tkm
[24/12/23, 12:24:31 AM] Venegas: ✝️❣️
[24/12/23, 10:11:56 PM] Venegas: ¡Feliz Navidad! Ustedes son mi grupo preferido!! 🎉🎉
[26/12/23, 1:16:30 PM] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
‎[2/1/24, 9:04:48 AM] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:48 AM] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:48 AM] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:49 AM] Venegas: ‎imagen omitida
‎[2/1/24, 9:04:49 AM] Venegas: ‎imagen omitida
[2/1/24, 9:14:25 AM] Gerard: Alv hoy es martes, no lunes 😅🤣
[2/1/24, 9:23:13 AM] Venegas: JAJAJAJAJAJA
[2/1/24, 9:23:26 AM] Venegas: VENGAAAA
[2/1/24, 9:23:31 AM] Gerard: Iniciaron a las 9 ?
[2/1/24, 9:23:37 AM] Dixon Montero: No se perdió de nada
[2/1/24, 9:23:40 AM] Venegas: No
[2/1/24, 9:23:41 AM] Dixon Montero: Esa vieja no ha llegado
[2/1/24, 9:23:42 AM] Venegas: venga
[2/1/24, 9:23:51 AM] Venegas: Seguro la mae vino a las 10
[2/1/24, 9:24:02 AM] Dixon Montero: Y no creo que llegue
[2/1/24, 9:24:11 AM] Venegas: Juanga
[2/1/24, 9:24:15 AM] Venegas: le está escribiendo
[2/1/24, 9:24:23 AM] Venegas: dice que seguro se le fue y pensó que era a las 10
[2/1/24, 9:28:19 AM] Venegas: Juanga la está llamando
‎[2/1/24, 9:28:23 AM] Venegas: ‎sticker omitido
[2/1/24, 9:30:10 AM] Venegas: *LES DIJE*
[2/1/24, 9:30:16 AM] Venegas: LA MAE PENSÓ QUE A LAS 10
[2/1/24, 9:30:19 AM] Venegas: 😂😂😂😂😂😂
[2/1/24, 9:30:25 AM] Venegas: Comenzamos a las 10
[2/1/24, 9:30:30 AM] Venegas: 😂😂😂😂😂
[2/1/24, 9:30:42 AM] Venegas: JAJAJAJAJAJAJAJAJA
[2/1/24, 9:30:44 AM] Venegas: Ahí va juanga
‎[2/1/24, 2:01:49 PM] Venegas: toaz.info-ross-primer-curso-de-probabilidadpdf-pr_e90deeb712e911deb9b2f7b362ed30e4.pdf • ‎545 páginas ‎documento omitido
‎[2/1/24, 2:01:51 PM] Venegas: solutions-manual-probability-jim-pitman.pdf • ‎201 páginas ‎documento omitido
[2/1/24, 2:02:00 PM] Venegas: Ross, Primer Curso de Probabilidad
‎[2/1/24, 2:02:03 PM] Venegas: Book_Probability_1.pdf • ‎564 páginas ‎documento omitido
[2/1/24, 2:02:09 PM] Venegas: Solucionario del Pitman
[2/1/24, 2:02:13 PM] Venegas: Pitman
[2/1/24, 2:02:18 PM] Corella: Qué grande Venegas
[2/1/24, 2:02:23 PM] Venegas: De nada putas
‎[2/1/24, 2:02:25 PM] Venegas: ‎sticker omitido
[2/1/24, 2:02:57 PM] Corella: Esos fueron los que la profe menciono hoy? Además del otro que ya había enviado
[2/1/24, 2:03:12 PM] Venegas: Sí
[2/1/24, 2:03:15 PM] Corella: Nice
‎[2/1/24, 2:03:18 PM] Corella: ‎sticker omitido
[2/1/24, 2:03:22 PM] Venegas: Esos dos, son los complementarios que dice la profe
[2/1/24, 2:03:25 PM] Venegas: https://youtube.com/playlist?list=PLOy2IullCo2wWLcEAJrJkA0RNmZAC21Ol&si=CDcVYrhxs1L5FgF0
[2/1/24, 2:03:36 PM] Venegas: Lista de Reproducción de Cambro God
[2/1/24, 2:03:44 PM] Venegas: https://youtube.com/playlist?list=PLOy2IullCo2zYVzHB8PoE68KT9W6FRerc&si=prOQSVW9w3uaKa-6
[2/1/24, 2:03:52 PM] Venegas: Otra lista de repro de Cambro God
‎[2/1/24, 2:05:59 PM] Venegas: Apuntes2022.pdf • ‎122 páginas ‎documento omitido
[2/1/24, 2:06:07 PM] Venegas: Apuntes de Cambro
‎[2/1/24, 2:08:30 PM] Venegas: Probabilidad Cambro God.pdf • ‎152 páginas ‎documento omitido
[2/1/24, 2:08:45 PM] Venegas: Este es otro curso, tiene un toque de más bases de sumas
[2/1/24, 2:08:51 PM] Venegas: sumatorias
‎[2/1/24, 2:10:50 PM] Venegas: Clase 9.pdf • ‎112 páginas ‎documento omitido
‎[2/1/24, 2:10:51 PM] Venegas: Clase 12.pdf • ‎116 páginas ‎documento omitido
‎[2/1/24, 2:10:51 PM] Venegas: Clase 13.pdf • ‎93 páginas ‎documento omitido
‎[2/1/24, 2:10:51 PM] Venegas: Clase 11.pdf • ‎148 páginas ‎documento omitido
‎[2/1/24, 2:10:51 PM] Venegas: Clase 10.pdf • ‎73 páginas ‎documento omitido
‎[2/1/24, 2:10:52 PM] Venegas: Clase 8.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:52 PM] Venegas: Clase 2.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:52 PM] Venegas: Clase 4.pdf • ‎83 páginas ‎documento omitido
‎[2/1/24, 2:10:52 PM] Venegas: Clase 3.pdf • ‎171 páginas ‎documento omitido
‎[2/1/24, 2:10:53 PM] Venegas: Clase 7.pdf • ‎138 páginas ‎documento omitido
‎[2/1/24, 2:10:53 PM] Venegas: Clase 6.pdf • ‎119 páginas ‎documento omitido
‎[2/1/24, 2:10:53 PM] Venegas: Clase 1.pdf • ‎46 páginas ‎documento omitido
‎[2/1/24, 2:10:53 PM] Venegas: Clase 5.pdf • ‎65 páginas ‎documento omitido
[2/1/24, 2:11:12 PM] Venegas: Esas PPT, son las Diapositivas de Viquez 
Por si quieren echarle una ojeada también
[2/1/24, 2:11:39 PM] Venegas: https://youtube.com/playlist?list=PLYeULBCgR9DXFIZY_tX-FCOocFPqfu2IQ&si=iHXZBxwi7iz9Vw6D
[2/1/24, 2:12:08 PM] Venegas: Esto es una Lista de Reproducción con Teoría de la Probabilidad
Se ve *MUY* prometedor, demuestran y la vara 
Por si gustan verlo
‎[2/1/24, 2:12:53 PM] Venegas: Grimmett - Probabilidad.pdf • ‎608 páginas ‎documento omitido
[2/1/24, 2:13:02 PM] Venegas: Vuelvo a pasar el Grimmett, para que todo esté junto
